django,django/django,False,The Web framework for perfectionists with deadlines.
DjangoBlog,liangliangyy/DjangoBlog,False,🍺基于Django的博客系统
django-rest-framework,encode/django-rest-framework,False,Web APIs for Django. 🎸
django-cms,django-cms/django-cms,False,The easy-to-use and developer-friendly enterprise CMS powered by Django 
cookiecutter-django,cookiecutter/cookiecutter-django,False,Cookiecutter Django is a framework for jumpstarting production-ready Django projects quickly.
django-allauth,pennersr/django-allauth,False,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication."
django-oscar,django-oscar/django-oscar,False,Domain-driven e-commerce for Django
mezzanine,stephenmcd/mezzanine,False,CMS framework for Django
django-haystack,django-haystack/django-haystack,False,Modular search for Django
django-ex,sclorg/django-ex,False,Django Example
django-extensions,django-extensions/django-extensions,False,This is a repository for collecting global custom management extensions for the Django Framework. 
awesome-django,wsvincent/awesome-django,False,A curated list of awesome things related to Django
django-tastypie,django-tastypie/django-tastypie,False,Creating delicious APIs for Django apps since 2010.
django2.0-course,HaddyYang/django2.0-course,False,Django2.0视频教程相关代码（杨仕航）
django-ecommerce,justdjango/django-ecommerce,False,An e-commerce website built with Django
django-shop,awesto/django-shop,False,A Django based shop system
DjangoUeditor,zhangfisher/DjangoUeditor,False,DjangoUeditor
django-sspanel,Ehco1996/django-sspanel,False,用 diango 开发的 shadowsocks 面板
graphene-django,graphql-python/graphene-django,False,Integrate GraphQL into your Django project.
django-jet,geex-arts/django-jet,False,Modern responsive template for the Django admin interface with improved functionality. We are proud to announce completely new Jet. Please check out Live Demo
django-debug-toolbar,jazzband/django-debug-toolbar,False,A configurable set of panels that display various debug information about the current request/response.
django-filter,carltongibson/django-filter,False,A generic system for filtering Django QuerySets based on user selections
django-ckeditor,django-ckeditor/django-ckeditor,False,Django admin CKEditor integration.
django-taggit,jazzband/django-taggit,False,Simple tagging for django
django-storages,jschneier/django-storages,False,https://django-storages.readthedocs.io/
channels,django/channels,False,Developer-friendly asynchrony for Django
django-grappelli,sehmaschine/django-grappelli,False,A jazzy skin for the Django Admin-Interface (official repository).
django-DefectDojo,DefectDojo/django-DefectDojo,False,DefectDojo is a DevSecOps and vulnerability management tool.
djangoproject.com,django/djangoproject.com,False,Source code to djangoproject.com
djangorestframework-simplejwt,jazzband/djangorestframework-simplejwt,False,A JSON Web Token authentication plugin for the Django REST Framework.
flask,pallets/flask,False,The Python micro framework for building web applications.
flasky,miguelgrinberg/flasky,False,"Companion code to my O'Reilly book ""Flask Web Development"", second edition."
helloflask,greyli/helloflask,False,"Hello, Flask!"
awesome-flask,humiaozuzu/awesome-flask,False,A curated list of awesome Flask resources and plugins
flask-website,pallets/flask-website,False,"The Flask website, built with Flask!"
flask-admin,flask-admin/flask-admin,False,Simple and extensible administrative interface framework for Flask
flask-restful,flask-restful/flask-restful,False,Simple framework for creating REST APIs
flask-login,maxcountryman/flask-login,False,Flask user session management.
flaskbb,flaskbb/flaskbb,False,A classic Forum Software in Python using Flask.
flask-boilerplate,realpython/flask-boilerplate,False,"Boilerplate template for a Python Flask application with Flask-SQLAlchemy, Flask-WTF, Fabric, Coverage, and Bootstrap"
flask-sqlalchemy,pallets-eco/flask-sqlalchemy,False,Adds SQLAlchemy support to Flask
FlaskIntroduction,jakerieger/FlaskIntroduction,False,Repo for my tutorial on freeCodeCamp.org
discover-flask,realpython/discover-flask,False,Full Stack Web Development with Flask.
cookiecutter-flask,cookiecutter-flask/cookiecutter-flask,False,"A flask template with Bootstrap, asset bundling+minification with webpack, starter templates, and registration/authentication. For use with cookiecutter."
flask,roytuts/flask,False,
Flask-AppBuilder,dpgaspar/Flask-AppBuilder,False,"Simple and rapid application development framework, built on top of Flask. includes detailed security, auto CRUD generation for your models, google charts and much more. Demo (login with guest/welcome) - http://flaskappbuilder.pythonanywhere.com/"
Flask-SocketIO,miguelgrinberg/Flask-SocketIO,False,Socket.IO integration for Flask applications.
flask-bootstrap,mbr/flask-bootstrap,False,Ready-to-use Twitter-bootstrap for use in Flask.
rest-apis-flask-python,tecladocode/rest-apis-flask-python,False,"Projects and e-book for our course, REST APIs with Flask and Python"
flask-restplus,noirbizarre/flask-restplus,False,"Fully featured framework for fast, easy and documented API development with Flask"
FlaskSeries,jimdevops19/FlaskSeries,False,This is the Code from my Flask Series - JimShapedCoding. Each Folder is a checkpoint where we stopped at that particular episode number
flask-base,hack4impact/flask-base,False,"A simple Flask boilerplate app with SQLAlchemy, Redis, User Authentication, and more."
flaskr-tdd,mjhea0/flaskr-tdd,False," Flaskr: Intro to Flask, Test-Driven Development (TDD), and JavaScript"
python-sample-vscode-flask-tutorial,microsoft/python-sample-vscode-flask-tutorial,False,Sample code for the Flask tutorial in the VS Code documentation
flaskSaaS,alectrocute/flaskSaaS,False,"A great starting point to build your SaaS in Flask & Python, with Stripe subscription billing 🚀"
xzceb-flask_eng_fr,ibm-developer-skills-network/xzceb-flask_eng_fr,False,flask_enf_fr
flask-security,mattupstate/flask-security,False,Quick and simple security for Flask applications
flaskex,anfederico/flaskex,False,Simple flask example for quick prototypes and small applications
flask-oauthlib,lepture/flask-oauthlib,False,YOU SHOULD USE https://github.com/lepture/authlib
uwsgi-nginx-flask-docker,tiangolo/uwsgi-nginx-flask-docker,False,Docker image with uWSGI and Nginx for Flask applications in Python running in a single container. Optionally with Alpine Linux.
requests,psf/requests,False,"A simple, yet elegant, HTTP library."
Requests,WordPress/Requests,False,Requests for PHP is a humble HTTP request library. It simplifies how you interact with other sites and takes away all your worries.
requests-html,psf/requests-html,False,Pythonic HTML Parsing for Humans™
requests-oauthlib,requests/requests-oauthlib,False,OAuthlib support for Python-Requests!
requests-for-research,openai/requests-for-research,False,A living collection of deep learning problems
jsr,mercyblitz/jsr,False,Java Specification Requests 
requests,asmcos/requests,False,A golang HTTP client library. Salute to python requests.
request,request/request,False,🏊🏾 Simplified HTTP request client.
